cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
trigo,1927,1927/1928,Buenos Aires,06,Adolfo Alsina,06007,107000,105000,91350,870
trigo,1927,1927/1928,Buenos Aires,06,Adolfo Gonzales Chaves,06014,42000,42000,39900,950
trigo,1927,1927/1928,Buenos Aires,06,Alberti,06021,35000,35000,55735,1592
trigo,1927,1927/1928,Buenos Aires,06,Almirante Brown,06028,15,15,24,1600
trigo,1927,1927/1928,Buenos Aires,06,Ayacucho,06042,1000,970,523,540
trigo,1927,1927/1928,Buenos Aires,06,Azul,06049,28000,28000,26600,950
trigo,1927,1927/1928,Buenos Aires,06,Bahía Blanca,06056,85000,85000,47600,560
trigo,1927,1927/1928,Buenos Aires,06,Balcarce,06063,27000,26000,14300,550
trigo,1927,1927/1928,Buenos Aires,06,Baradero,06070,9500,9500,10640,1120
trigo,1927,1927/1928,Buenos Aires,06,Bartolome Mitre,06077,9000,9000,9000,1000
trigo,1927,1927/1928,Buenos Aires,06,Benito Juárez,06084,27000,25700,23387,910
trigo,1927,1927/1928,Buenos Aires,06,Bolívar,06105,70000,70000,77000,1100
trigo,1927,1927/1928,Buenos Aires,06,Bragado,06112,47000,47000,66975,1425
trigo,1927,1927/1928,Buenos Aires,06,Brandsen,06119,300,300,240,800
trigo,1927,1927/1928,Buenos Aires,06,Campana,06126,950,950,950,1000
trigo,1927,1927/1928,Buenos Aires,06,Carlos Casares,06147,26000,26000,36400,1400
trigo,1927,1927/1928,Buenos Aires,06,Carlos Tejedor,06154,30000,30000,30300,1010
trigo,1927,1927/1928,Buenos Aires,06,Carmen de Areco,06161,3000,3000,3240,1080
trigo,1927,1927/1928,Buenos Aires,06,Castelli,06168,600,500,405,810
trigo,1927,1927/1928,Buenos Aires,06,Colón,06175,3000,3000,3600,1200
trigo,1927,1927/1928,Buenos Aires,06,Coronel Dorrego,06189,204000,198800,145124,730
trigo,1927,1927/1928,Buenos Aires,06,Coronel Pringles,06196,131500,128200,99996,780
trigo,1927,1927/1928,Buenos Aires,06,Coronel Suárez,06203,122000,122000,114680,940
trigo,1927,1927/1928,Buenos Aires,06,Chacabuco,06210,30000,30000,42000,1400
trigo,1927,1927/1928,Buenos Aires,06,Chascomús,06218,1000,1000,920,920
trigo,1927,1927/1928,Buenos Aires,06,Chivilcoy,06224,46000,46000,62560,1360
trigo,1927,1927/1928,Buenos Aires,06,Dolores,06238,300,300,213,710
trigo,1927,1927/1928,Buenos Aires,06,Exaltación de la Cruz,06266,5000,5000,6000,1200
trigo,1927,1927/1928,Buenos Aires,06,Florencio Varela,06274,50,50,40,800
trigo,1927,1927/1928,Buenos Aires,06,General Alvarado,06280,22000,21300,17040,800
trigo,1927,1927/1928,Buenos Aires,06,General Alvear,06287,4500,4500,3825,850
trigo,1927,1927/1928,Buenos Aires,06,General Arenales,06294,20200,20200,25460,1261
trigo,1927,1927/1928,Buenos Aires,06,General Belgrano,06301,2150,1700,1445,850
trigo,1927,1927/1928,Buenos Aires,06,General Guido,06308,200,200,200,1000
trigo,1927,1927/1928,Buenos Aires,06,General Juan Madariaga,06315,80,80,60,750
trigo,1927,1927/1928,Buenos Aires,06,General La Madrid,06322,17000,17000,17000,1000
trigo,1927,1927/1928,Buenos Aires,06,General Las Heras,06329,55,55,93,1700
trigo,1927,1927/1928,Buenos Aires,06,General Paz,06343,950,500,500,1000
trigo,1927,1927/1928,Buenos Aires,06,General Pinto,06351,44000,44000,48400,1100
trigo,1927,1927/1928,Buenos Aires,06,General Pueyrredón,06357,18000,17300,11418,660
trigo,1927,1927/1928,Buenos Aires,06,General Rodríguez,06364,1050,1050,1050,1000
trigo,1927,1927/1928,Buenos Aires,06,General Viamonte,06385,35000,35000,51100,1460
trigo,1927,1927/1928,Buenos Aires,06,General Villegas,06392,66000,66000,57090,865
trigo,1927,1927/1928,Buenos Aires,06,Guaminí,06399,50000,50000,55000,1100
trigo,1927,1927/1928,Buenos Aires,06,General Sarmiento,06412,530,530,795,1500
trigo,1927,1927/1928,Buenos Aires,06,Junín,06413,38000,38000,49400,1300
trigo,1927,1927/1928,Buenos Aires,06,La Plata,06441,2500,2500,3000,1200
trigo,1927,1927/1928,Buenos Aires,06,Laprida,06448,6500,6500,6045,930
trigo,1927,1927/1928,Buenos Aires,06,Las Flores,06455,600,600,501,835
trigo,1927,1927/1928,Buenos Aires,06,Leandro N. Alem,06462,9000,9000,9990,1110
trigo,1927,1927/1928,Buenos Aires,06,Lincoln,06469,70000,70000,88200,1260
trigo,1927,1927/1928,Buenos Aires,06,Lobería,06476,32100,28900,17051,590
trigo,1927,1927/1928,Buenos Aires,06,Lobos,06483,3600,3600,4140,1150
trigo,1927,1927/1928,Buenos Aires,06,Luján,06497,6680,6680,8016,1200
trigo,1927,1927/1928,Buenos Aires,06,Magdalena,06505,13000,11500,14145,1230
trigo,1927,1927/1928,Buenos Aires,06,Maipú,06511,300,300,300,1000
trigo,1927,1927/1928,Buenos Aires,06,Mar Chiquita,06518,7710,7710,4626,600
trigo,1927,1927/1928,Buenos Aires,06,Marcos Paz,06525,130,130,104,800
trigo,1927,1927/1928,Buenos Aires,06,Mercedes,06532,1700,1700,2108,1240
trigo,1927,1927/1928,Buenos Aires,06,Merlo,06539,100,100,100,1000
trigo,1927,1927/1928,Buenos Aires,06,Monte,06547,1000,1000,650,650
trigo,1927,1927/1928,Buenos Aires,06,Navarro,06574,3500,3500,4025,1150
trigo,1927,1927/1928,Buenos Aires,06,Necochea,06581,148000,143480,115400,804
trigo,1927,1927/1928,Buenos Aires,06,9 de Julio,06588,56000,56000,84000,1500
trigo,1927,1927/1928,Buenos Aires,06,Olavarría,06595,40000,40000,40000,1000
trigo,1927,1927/1928,Buenos Aires,06,Patagones,06602,62000,54000,18360,340
trigo,1927,1927/1928,Buenos Aires,06,Pehuajó,06609,60000,60000,80400,1340
trigo,1927,1927/1928,Buenos Aires,06,Pellegrini,06616,71000,71000,71710,1010
trigo,1927,1927/1928,Buenos Aires,06,Pergamino,06623,9000,9000,9990,1110
trigo,1927,1927/1928,Buenos Aires,06,Pila,06630,200,200,180,900
trigo,1927,1927/1928,Buenos Aires,06,Pilar,06638,2720,2720,3400,1250
trigo,1927,1927/1928,Buenos Aires,06,Puán,06651,218000,207000,155250,750
trigo,1927,1927/1928,Buenos Aires,06,Ramallo,06665,500,500,550,1100
trigo,1927,1927/1928,Buenos Aires,06,Rauch,06672,2500,2350,940,400
trigo,1927,1927/1928,Buenos Aires,06,Rivadavia,06679,59000,59000,57230,970
trigo,1927,1927/1928,Buenos Aires,06,Rojas,06686,15000,15000,18000,1200
trigo,1927,1927/1928,Buenos Aires,06,Roque Pérez,06693,4500,4500,4500,1000
trigo,1927,1927/1928,Buenos Aires,06,Saavedra,06700,112900,109000,81750,750
trigo,1927,1927/1928,Buenos Aires,06,Saladillo,06707,25000,25000,31250,1250
trigo,1927,1927/1928,Buenos Aires,06,Salto,06714,6500,6500,6890,1060
trigo,1927,1927/1928,Buenos Aires,06,San Andrés de Giles,06728,10000,10000,11950,1195
trigo,1927,1927/1928,Buenos Aires,06,San Antonio de Areco,06735,7500,7500,8150,1087
trigo,1927,1927/1928,Buenos Aires,06,San Nicolás,06763,1300,1300,1430,1100
trigo,1927,1927/1928,Buenos Aires,06,San Pedro,06770,2000,2000,1660,830
trigo,1927,1927/1928,Buenos Aires,06,Suipacha,06784,1000,1000,1300,1300
trigo,1927,1927/1928,Buenos Aires,06,Tandil,06791,25000,23400,14040,600
trigo,1927,1927/1928,Buenos Aires,06,Tapalqué,06798,3000,2100,1375,655
trigo,1927,1927/1928,Buenos Aires,06,Las Conchas,06805,10,10,10,1000
trigo,1927,1927/1928,Buenos Aires,06,Tordillo,06812,210,210,136,650
trigo,1927,1927/1928,Buenos Aires,06,Tornquist,06819,114000,110000,63800,580
trigo,1927,1927/1928,Buenos Aires,06,Trenque Lauquen,06826,70000,70000,67900,970
trigo,1927,1927/1928,Buenos Aires,06,Tres Arroyos,06833,169500,162500,115375,710
trigo,1927,1927/1928,Buenos Aires,06,Tres de Febrero,06840,45000,45000,55350,1230
trigo,1927,1927/1928,Buenos Aires,06,25 de Mayo,06854,30000,30000,37500,1250
trigo,1927,1927/1928,Buenos Aires,06,Villarino,06875,190000,160000,64800,405
trigo,1927,1927/1928,Buenos Aires,06,Zárate,06882,1500,1500,1650,1100
trigo,1927,1927/1928,Catamarca,10,,,9820,9820,7659,780
trigo,1927,1927/1928,Córdoba,14,Calamuchita,14007,22800,22800,25536,1120
trigo,1927,1927/1928,Córdoba,14,Capital,14014,400,400,320,800
trigo,1927,1927/1928,Córdoba,14,Colón,14021,1850,1850,1692,915
trigo,1927,1927/1928,Córdoba,14,Cruz del Eje,14028,800,800,760,950
trigo,1927,1927/1928,Córdoba,14,General Roca,14035,206000,206000,177160,860
trigo,1927,1927/1928,Córdoba,14,General San Martín,14042,180000,180000,198000,1100
trigo,1927,1927/1928,Córdoba,14,Ischilín,14049,200,200,240,1200
trigo,1927,1927/1928,Córdoba,14,Juárez Celman,14056,256000,256000,223372,873
trigo,1927,1927/1928,Córdoba,14,Marcos Juárez,14063,250000,250000,310000,1240
trigo,1927,1927/1928,Córdoba,14,Pocho,14077,50,50,42,850
trigo,1927,1927/1928,Córdoba,14,Punilla,14091,150,150,142,945
trigo,1927,1927/1928,Córdoba,14,Río Cuarto,14098,290000,290000,263900,910
trigo,1927,1927/1928,Córdoba,14,Río Primero,14105,50000,50000,57500,1150
trigo,1927,1927/1928,Córdoba,14,Río Seco,14112,300,300,300,1000
trigo,1927,1927/1928,Córdoba,14,Río Segundo,14119,166000,166000,197540,1190
trigo,1927,1927/1928,Córdoba,14,San Alberto,14126,200,200,192,960
trigo,1927,1927/1928,Córdoba,14,San Javier,14133,900,900,1080,1200
trigo,1927,1927/1928,Córdoba,14,San Justo,14140,489600,489600,548352,1120
trigo,1927,1927/1928,Córdoba,14,Santa María,14147,19200,19200,20352,1060
trigo,1927,1927/1928,Córdoba,14,Sobremonte,14154,100,100,100,1000
trigo,1927,1927/1928,Córdoba,14,Tercero Arriba,14161,198000,198000,235620,1190
trigo,1927,1927/1928,Córdoba,14,Totoral,14168,1000,1000,1100,1100
trigo,1927,1927/1928,Córdoba,14,Tulumba,14175,850,850,850,1000
trigo,1927,1927/1928,Córdoba,14,Unión,14182,340000,340000,397800,1170
trigo,1927,1927/1928,Corrientes,18,,,1095,1095,712,650
trigo,1927,1927/1928,Chubut,26,,,500,500,365,730
trigo,1927,1927/1928,Entre Ríos,30,Colón,30008,30000,30000,31350,1045
trigo,1927,1927/1928,Entre Ríos,30,Concordia,30015,16210,16210,17830,1100
trigo,1927,1927/1928,Entre Ríos,30,Diamante,30021,44000,44000,40920,930
trigo,1927,1927/1928,Entre Ríos,30,Federación,30028,400,400,320,800
trigo,1927,1927/1928,Entre Ríos,30,Feliciano,30042,97,97,85,880
trigo,1927,1927/1928,Entre Ríos,30,Gualeguay,30049,17820,17820,18711,1050
trigo,1927,1927/1928,Entre Ríos,30,Gualeguaychú,30056,84620,84620,83300,984
trigo,1927,1927/1928,Entre Ríos,30,La Paz,30070,12048,12048,11807,980
trigo,1927,1927/1928,Entre Ríos,30,Nogoyá,30077,70000,70000,73850,1055
trigo,1927,1927/1928,Entre Ríos,30,Paraná,30084,120000,120000,120000,1000
trigo,1927,1927/1928,Entre Ríos,30,Tala,30091,32000,32000,33600,1050
trigo,1927,1927/1928,Entre Ríos,30,Uruguay,30098,70000,70000,73500,1050
